Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0201,2,12pF C0G,C277478
"C11, C2",0201,2,"1.0uF, 10V, X5R",C76935
"C13, C18, C4, C7, C8",0201,5,"0.1uF, 10V, X5R",C76934
"C14, C17, C19, C21",0402,4,10uF,C315248
"C15, C5, C9",0201,3,"2.2uF, 6.3V, X5R",C76933
"C16, C20, C22",0201,3,100nF,C76934
C26,0201,1,1nF,C85934
"C27, C3, C6",0201,3,1uF,C76935
D1,1010 RGB WS2812B,1,WS2812B-1010,C5349953
D2,DFN1006-2L,1,PSBD2FD40V1H,C492733
D3,DFN1006-2L,1,LNZ8F5V6T5G,C383251
D4,LED-0402,1,Yellow,C74340
"D5, D6, D7, D8",ESD-0201,4,B74121U0055M060,C20344325
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"L1, L3",L0603,2,0.47uH,C882988
Q1,PMOS_1.0X0.6X0.35MM,1,LP0404N3T5G,C172433
Q2,PMOS_1.0X0.6X0.35MM,1,LN237N3T5G,C383245
R1,0201,1,1.5k,C25905
"R11, R5, R8",0201,3,"5.1k, 1%",C25905
R12,R0201,1,150K,C274346
"R13, R14, R16",0201,3,470K,C274343
R15,0201,1,249K,C2108970
R19,0201,1,2.2K,C142018
R2,0201,1,100 ohm,C106232
R20,0201,1,100R,RC0201FR-07100RL
R3,0201,1,4.7M,C474132
R4,0201,1,"10k, 1%",C106225
R6,0201,1,12.1k,C423764
R7,0201,1,5.1K,C163490
"SW1, SW2",SW4-SMD-2.8-2.6X1.6X0.53MM,2,SKTAAAE010,C358616
U1,WLCSP-71_9x8_4.062x3.762mm,1,baochip1x,
"U2, U8",WLCSP4-0.4-0.77X0.77X0.33MM,2,TPS22916CYFPR,C2680319
U3,BGA6-0.35-0.745X10.95X0.4MM,1,"SMD IC PMIC;DCDC Buck-ADJ-1A,Vin 1.95V to 5.5V,Vout 0.8V to 1.55V;WLCSP-6B",C5153504
U5,QFN-10_1.4x1.8_Pitch0.4mm,1,SGM7222YWQ10/TR,C700326
U7,WLCSP-0.4-0.92X1.16X0.4MM,1,SGM40567-4.2XG/TR,C5141336
U9,BGA6-0.35-0.745X10.95X0.4MM,1,"SMD IC PMIC;DCDC Buck-ADJ-1A,Vin 1.95V to 5.5V,Vout 1.8V to 3.3V;WLCSP-6B",C5153500
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48.000MHz,C2450980
